,datetime,burst_id,orbit_pass_direction,site_id,site_lon,site_lat,site_x,site_y,vv,vh,vv/vh
0,2020-10-03 14:52:12,T174-371805-IW3,ascending,263,47.0936331588855,47.0936331588855,686989.2159938865,4065252.111608319,"[0.11770251393318176, 0.07088539004325867, 0.07186204940080643, 0.07208907604217529, 0.07323609292507172, 0.10317972302436829, 0.1520291417837143, 0.03792290762066841, 0.09717854857444763]","[0.012986325658857822, 0.01363155897706747, 0.012619749642908573, 0.014958257786929607, 0.019684264436364174, 0.025304846465587616, 0.02326330356299877, 0.011405015364289284, 0.012233092449605465]","[9.063572883605957, 5.200094223022461, 5.694411754608154, 4.819349765777588, 3.7205400466918945, 4.0774688720703125, 6.535148620605469, 3.325108051300049, 7.943906784057617]"
1,2020-10-09 14:52:56,T174-371805-IW3,ascending,263,47.0936331588855,47.0936331588855,686989.2159938865,4065252.111608319,"[0.11944832652807236, 0.04413710907101631, 0.09476830065250397, 0.06133650988340378, 0.08740612119436264, 0.09647905081510544, 0.0918995812535286, 0.04432700201869011, 0.08667909353971481]","[0.01355146523565054, 0.009494096972048283, 0.019657637923955917, 0.012828942388296127, 0.005255470983684063, 0.012129300273954868, 0.010331960394978523, 0.008582981303334236, 0.009114626795053482]","[8.814421653747559, 4.648900032043457, 4.8209404945373535, 4.78110408782959, 16.631452560424805, 7.954214096069336, 8.894689559936523, 5.164522647857666, 9.509889602661133]"
2,2020-10-15 14:52:12,T174-371805-IW3,ascending,263,47.0936331588855,47.0936331588855,686989.2159938865,4065252.111608319,"[0.1433807760477066, 0.07306060940027237, 0.09304947406053543, 0.13684354722499847, 0.10067855566740036, 0.06989765912294388, 0.09737218171358109, 0.08079526573419571, 0.0597238726913929]","[0.018364178016781807, 0.01447348203510046, 0.007173775229603052, 0.014489259570837021, 0.019415656104683876, 0.008967450819909573, 0.009950300678610802, 0.013362097553908825, 0.014775828458368778]","[7.807633876800537, 5.047894477844238, 12.970782279968262, 9.44448184967041, 5.185431480407715, 7.794596195220947, 9.785853385925293, 6.046600341796875, 4.041998386383057]"
3,2020-10-21 14:52:55,T174-371805-IW3,ascending,263,47.0936331588855,47.0936331588855,686989.2159938865,4065252.111608319,"[0.11786280572414398, 0.07811644673347473, 0.0689011663198471, 0.11053476482629776, 0.08481074869632721, 0.04948402941226959, 0.11030605435371399, 0.08581572771072388, 0.06277576833963394]","[0.017215948551893234, 0.01489438209682703, 0.019684258848428726, 0.016048695892095566, 0.015976743772625923, 0.018205219879746437, 0.020200422033667564, 0.012876165099442005, 0.016039403155446053]","[6.8461408615112305, 5.244691848754883, 3.5003180503845215, 6.887460708618164, 5.308387756347656, 2.718123197555542, 5.4605817794799805, 6.664696216583252, 3.913846969604492]"
4,2020-10-27 14:52:12,T174-371805-IW3,ascending,263,47.0936331588855,47.0936331588855,686989.2159938865,4065252.111608319,"[0.09897024184465408, 0.07597631961107254, 0.08443588018417358, 0.09184309095144272, 0.08863894641399384, 0.05356627330183983, 0.07302597910165787, 0.08320789039134979, 0.09742026031017303]","[0.01692342944443226, 0.015332293696701527, 0.018948310986161232, 0.014718535356223583, 0.0056690433993935585, 0.01122285146266222, 0.011884666047990322, 0.005223453044891357, 0.0093618705868721]","[5.848119735717773, 4.955313205718994, 4.456116676330566, 6.23996114730835, 15.635608673095703, 4.7729644775390625, 6.144554615020752, 15.929671287536621, 10.406067848205566]"
5,2020-11-02 14:52:55,T174-371805-IW3,ascending,263,47.0936331588855,47.0936331588855,686989.2159938865,4065252.111608319,"[0.10559646040201187, 0.1224326342344284, 0.05296250432729721, 0.10576464980840683, 0.10847516357898712, 0.09472579509019852, 0.08835610002279282, 0.11641649901866913, 0.07942009717226028]","[0.02030901052057743, 0.013329634442925453, 0.01791880466043949, 0.029847169294953346, 0.01606224663555622, 0.011972916312515736, 0.012878567911684513, 0.014024046249687672, 0.00492632994428277]","[5.199488162994385, 9.184995651245117, 2.9556939601898193, 3.5435404777526855, 6.753424167633057, 7.911672592163086, 6.860708713531494, 8.301206588745117, 16.12155532836914]"
6,2020-11-08 14:52:12,T174-371805-IW3,ascending,263,47.0936331588855,47.0936331588855,686989.2159938865,4065252.111608319,"[0.15672801434993744, 0.15553662180900574, 0.09797796607017517, 0.07584003359079361, 0.12578681111335754, 0.11070434004068375, 0.09866606444120407, 0.1119314506649971, 0.10593833774328232]","[0.02108929306268692, 0.015112212859094143, 0.02266337163746357, 0.013642310164868832, 0.02542875148355961, 0.025840766727924347, 0.01822006143629551, 0.03150603175163269, 0.007506434340029955]","[7.431639194488525, 10.2921142578125, 4.323185920715332, 5.559178352355957, 4.946637153625488, 4.284096717834473, 5.415243148803711, 3.552699089050293, 14.113003730773926]"
7,2020-11-14 14:52:55,T174-371805-IW3,ascending,263,47.0936331588855,47.0936331588855,686989.2159938865,4065252.111608319,"[0.10475914180278778, 0.07949995994567871, 0.07081989198923111, 0.11265670508146286, 0.05158412829041481, 0.0726250484585762, 0.11226623505353928, 0.07679291069507599, 0.0689782127737999]","[0.0128054553642869, 0.006009841337800026, 0.017670495435595512, 0.010809062980115414, 0.011033743619918823, 0.010315170511603355, 0.007803986314684153, 0.011476658284664154, 0.01470528170466423]","[8.180821418762207, 13.228296279907227, 4.0078043937683105, 10.422430038452148, 4.675124645233154, 7.040605545043945, 14.385754585266113, 6.691225528717041, 4.690710067749023]"
8,2020-11-20 14:52:12,T174-371805-IW3,ascending,263,47.0936331588855,47.0936331588855,686989.2159938865,4065252.111608319,"[0.05368327349424362, 0.10719216614961624, 0.0672464519739151, 0.04807716980576515, 0.0803828090429306, 0.05732379108667374, 0.059401825070381165, 0.03398112207651138, 0.06353715062141418]","[0.008703510276973248, 0.008694658055901527, 0.010508221574127674, 0.012543248943984509, 0.012693265452980995, 0.009066331200301647, 0.01192568987607956, 0.011363843455910683, 0.01566683128476143]","[6.168002605438232, 12.328508377075195, 6.399413108825684, 3.832911968231201, 6.3327131271362305, 6.322710990905762, 4.980997085571289, 2.9902842044830322, 4.055520057678223]"
9,2020-11-26 14:52:55,T174-371805-IW3,ascending,263,47.0936331588855,47.0936331588855,686989.2159938865,4065252.111608319,"[0.045241691172122955, 0.11286059767007828, 0.053385764360427856, 0.07206320017576218, 0.05700426176190376, 0.06183212250471115, 0.05269371345639229, 0.07000879943370819, 0.061244916170835495]","[0.019415469840168953, 0.012796142138540745, 0.006070989184081554, 0.011786087416112423, 0.003282073186710477, 0.012535244226455688, 0.02231426350772381, 0.013680214062333107, 0.01066530030220747]","[2.3301877975463867, 8.819892883300781, 8.793585777282715, 6.114259719848633, 17.368370056152344, 4.932662010192871, 2.361436367034912, 5.117522239685059, 5.742446422576904]"
