,datetime,burst_id,orbit_pass_direction,site_id,site_lon,site_lat,site_x,site_y,vv,vh,vv/vh
0,2020-10-06 03:35:27,T123-263100-IW1,descending,73,33.3582026132727,33.3582026132727,539760.0052627587,448484.939783284,"[0.11588316410779953, 0.11509263515472412, 0.1915225237607956, 0.10108549147844315, 0.19074049592018127, 0.14563395082950592, 0.1923220306634903, 0.19662676751613617, 0.09017279744148254]","[0.03574724867939949, 0.061385154724121094, 0.036140162497758865, 0.03596969321370125, 0.04213830456137657, 0.04415682330727577, 0.06297344714403152, 0.07020688056945801, 0.02345210872590542]","[3.241736650466919, 1.874926209449768, 5.299437046051025, 2.8102962970733643, 4.526534557342529, 3.298107624053955, 3.0540177822113037, 2.8006765842437744, 3.8449761867523193]"
1,2020-10-18 03:35:27,T123-263100-IW1,descending,73,33.3582026132727,33.3582026132727,539760.0052627587,448484.939783284,"[0.10076044499874115, 0.16674119234085083, 0.13039961457252502, 0.17004616558551788, 0.08606299012899399, 0.1331058144569397, 0.20027561485767365, 0.05014989152550697, 0.1963873952627182]","[0.0568394735455513, 0.04219270125031471, 0.038227904587984085, 0.07336697727441788, 0.025682909414172173, 0.030537715181708336, 0.08853647112846375, 0.05013075843453407, 0.04769101366400719]","[1.7727195024490356, 3.9518966674804688, 3.4111106395721436, 2.3177480697631836, 3.350982904434204, 4.358735084533691, 2.2620689868927, 1.0003817081451416, 4.1179118156433105]"
2,2020-10-24 03:34:46,T123-263100-IW1,descending,73,33.3582026132727,33.3582026132727,539760.0052627587,448484.939783284,"[0.17592348158359528, 0.23332983255386353, 0.11955235153436661, 0.26817089319229126, 0.14027898013591766, 0.14584092795848846, 0.2467365562915802, 0.1083657369017601, 0.207170307636261]","[0.08378857374191284, 0.052303534001111984, 0.05135094001889229, 0.11860255151987076, 0.10761215537786484, 0.054130714386701584, 0.060041118413209915, 0.04425230622291565, 0.03569340705871582]","[2.099611759185791, 4.461071968078613, 2.328143358230591, 2.2610888481140137, 1.303560733795166, 2.6942360401153564, 4.10945987701416, 2.4488155841827393, 5.804161548614502]"
3,2020-10-30 03:35:27,T123-263100-IW1,descending,73,33.3582026132727,33.3582026132727,539760.0052627587,448484.939783284,"[0.0925673171877861, 0.1315946877002716, 0.05712044984102249, 0.09636040776968002, 0.07673823833465576, 0.0849204957485199, 0.09475775808095932, 0.06464609503746033, 0.11174499243497849]","[0.022573061287403107, 0.02159898355603218, 0.03873049095273018, 0.025630798190832138, 0.01788792572915554, 0.024232158437371254, 0.04499609395861626, 0.024769557639956474, 0.018202293664216995]","[4.100787162780762, 6.092633247375488, 1.4748185873031616, 3.7595555782318115, 4.28994607925415, 3.5044543743133545, 2.1059107780456543, 2.609901189804077, 6.139060974121094]"
4,2020-11-05 03:34:46,T123-263100-IW1,descending,73,33.3582026132727,33.3582026132727,539760.0052627587,448484.939783284,"[0.1183323934674263, 0.14536941051483154, 0.10204203426837921, 0.145404651761055, 0.07447123527526855, 0.11042885482311249, 0.08001422882080078, 0.10013145208358765, 0.11181377619504929]","[0.040270257741212845, 0.02571582980453968, 0.03158878535032272, 0.01993827521800995, 0.01548181101679802, 0.03291180357336998, 0.026544300839304924, 0.029646234586834908, 0.038360174745321274]","[2.9384562969207764, 5.6529154777526855, 3.2303247451782227, 7.2927398681640625, 4.810240745544434, 3.3552963733673096, 3.0143656730651855, 3.3775436878204346, 2.9148402214050293]"
5,2020-11-11 03:35:27,T123-263100-IW1,descending,73,33.3582026132727,33.3582026132727,539760.0052627587,448484.939783284,"[0.1071309894323349, 0.06862150132656097, 0.1270720213651657, 0.2586415708065033, 0.09224841743707657, 0.21408997476100922, 0.16601517796516418, 0.08747879415750504, 0.22826114296913147]","[0.030036885291337967, 0.05534723773598671, 0.03379533812403679, 0.03780001401901245, 0.033025000244379044, 0.02474321238696575, 0.03517834469676018, 0.037212010473012924, 0.01348301861435175]","[3.56664776802063, 1.2398360967636108, 3.7600457668304443, 6.842367172241211, 2.793290376663208, 8.652472496032715, 4.71924352645874, 2.3508214950561523, 16.929527282714844]"
6,2020-11-17 03:34:46,T123-263100-IW1,descending,73,33.3582026132727,33.3582026132727,539760.0052627587,448484.939783284,"[0.1503872126340866, 0.10237213224172592, 0.07818099856376648, 0.15294378995895386, 0.06808184087276459, 0.13347065448760986, 0.194692924618721, 0.07715342938899994, 0.16700613498687744]","[0.040178317576646805, 0.020196981728076935, 0.02343347668647766, 0.03227013722062111, 0.03068450838327408, 0.04102233052253723, 0.030728807672858238, 0.019830899313092232, 0.04038276895880699]","[3.7429943084716797, 5.0686845779418945, 3.3362953662872314, 4.739483833312988, 2.218769073486328, 3.2536096572875977, 6.335843563079834, 3.890566349029541, 4.1355791091918945]"
7,2020-11-23 03:35:27,T123-263100-IW1,descending,73,33.3582026132727,33.3582026132727,539760.0052627587,448484.939783284,"[0.10899033397436142, 0.08211997151374817, 0.16497986018657684, 0.16849781572818756, 0.10378182679414749, 0.10898996889591217, 0.08001851290464401, 0.08743465691804886, 0.10923036932945251]","[0.02600538171827793, 0.058011312037706375, 0.07956485450267792, 0.06517207622528076, 0.026681937277317047, 0.0332738533616066, 0.049406230449676514, 0.0224265456199646, 0.036341406404972076]","[4.191068649291992, 1.4155855178833008, 2.0735268592834473, 2.5854296684265137, 3.8895912170410156, 3.2755439281463623, 1.6196036338806152, 3.898712635040283, 3.0056726932525635]"
8,2020-11-29 03:34:46,T123-263100-IW1,descending,73,33.3582026132727,33.3582026132727,539760.0052627587,448484.939783284,"[0.16302041709423065, 0.21586938202381134, 0.35437339544296265, 0.35214197635650635, 0.2055557817220688, 0.21277987957000732, 0.23576244711875916, 0.28790760040283203, 0.11108065396547318]","[0.11097382754087448, 0.07302536815404892, 0.04504930600523949, 0.10355649888515472, 0.12172042578458786, 0.04757686331868172, 0.07670999318361282, 0.08816039562225342, 0.057097356766462326]","[1.4689987897872925, 2.956087589263916, 7.866345405578613, 3.400481700897217, 1.688753366470337, 4.472339153289795, 3.073425531387329, 3.2657248973846436, 1.945460557937622]"
9,2020-12-05 03:35:26,T123-263100-IW1,descending,73,33.3582026132727,33.3582026132727,539760.0052627587,448484.939783284,"[0.07454098761081696, 0.06939970701932907, 0.12780752778053284, 0.06121647730469704, 0.04909908398985863, 0.05729060620069504, 0.09721425920724869, 0.060099925845861435, 0.08551711589097977]","[0.017448341473937035, 0.008359177969396114, 0.03835061192512512, 0.01594989188015461, 0.013922865502536297, 0.03976237401366234, 0.021836863830685616, 0.0378296934068203, 0.021888794377446175]","[4.272095680236816, 8.302216529846191, 3.3326072692871094, 3.8380496501922607, 3.5265071392059326, 1.4408246278762817, 4.451841831207275, 1.5886971950531006, 3.9068901538848877]"
