,datetime,burst_id,orbit_pass_direction,site_id,site_lon,site_lat,site_x,site_y,vv,vh,vv/vh
0,2020-10-03 03:00:03,T079-168354-IW2,descending,55,47.0694728250112,47.0694728250112,667183.6208913935,4823384.08685955,"[0.05547250807285309, 0.10135987401008606, 0.08260571956634521, 0.059587568044662476, 0.08447535336017609, 0.1041407585144043, 0.06684506684541702, 0.16315752267837524, 0.06864853948354721]","[0.02756473980844021, 0.023959418758749962, 0.04292339086532593, 0.02397816628217697, 0.020183200016617775, 0.018299445509910583, 0.015053038485348225, 0.023870162665843964, 0.01753898337483406]","[2.012444496154785, 4.230481147766113, 1.9244918823242188, 2.4850761890411377, 4.185429096221924, 5.690924167633057, 4.440636157989502, 6.835207939147949, 3.9140546321868896]"
1,2020-10-09 02:59:03,T079-168354-IW2,descending,55,47.0694728250112,47.0694728250112,667183.6208913935,4823384.08685955,"[0.05664687603712082, 0.042456723749637604, 0.06651192158460617, 0.08177614212036133, 0.057935647666454315, 0.03594616800546646, 0.11151684075593948, 0.07282435148954391, 0.10431648045778275]","[0.016795150935649872, 0.013445009477436543, 0.01608482375741005, 0.012874712236225605, 0.022672900930047035, 0.01742192730307579, 0.009879034012556076, 0.01825970597565174, 0.011275747790932655]","[3.3728113174438477, 3.1578054428100586, 4.135073184967041, 6.351686954498291, 2.555281639099121, 2.0632715225219727, 11.288233757019043, 3.9882543087005615, 9.251402854919434]"
2,2020-10-15 03:00:03,T079-168354-IW2,descending,55,47.0694728250112,47.0694728250112,667183.6208913935,4823384.08685955,"[0.06527335941791534, 0.058295659720897675, 0.15599775314331055, 0.07024064660072327, 0.07656097412109375, 0.08008748292922974, 0.07073868811130524, 0.043512146919965744, 0.06945522129535675]","[0.011347206309437752, 0.014641163870692253, 0.019725708290934563, 0.010911683551967144, 0.021354518830776215, 0.014630728401243687, 0.017412811517715454, 0.01063371729105711, 0.004147420171648264]","[5.752372741699219, 3.9816274642944336, 7.908347129821777, 6.437196254730225, 3.585235357284546, 5.473923206329346, 4.062450885772705, 4.0919036865234375, 16.74660873413086]"
3,2020-10-21 02:59:02,T079-168354-IW2,descending,55,47.0694728250112,47.0694728250112,667183.6208913935,4823384.08685955,"[0.04774875193834305, 0.06227206811308861, 0.10897956788539886, 0.07549332082271576, 0.06518903374671936, 0.018276270478963852, 0.04389762505888939, 0.09588092565536499, 0.05746298283338547]","[0.0036154352128505707, 0.013195515610277653, 0.015112188644707203, 0.006233032327145338, 0.020671242848038673, 0.008013295009732246, 0.005853204522281885, 0.006683062762022018, 0.009709469974040985]","[13.206916809082031, 4.719183921813965, 7.211369037628174, 12.111812591552734, 3.1536097526550293, 2.2807435989379883, 7.499759197235107, 14.346854209899902, 5.918241024017334]"
4,2020-10-27 03:00:03,T079-168354-IW2,descending,55,47.0694728250112,47.0694728250112,667183.6208913935,4823384.08685955,"[0.03560429811477661, 0.06182648241519928, 0.04045840725302696, 0.08678701519966125, 0.035889919847249985, 0.018486643210053444, 0.03697926923632622, 0.040740154683589935, 0.05902363732457161]","[0.005683545023202896, 0.013557709753513336, 0.013235307298600674, 0.01493070274591446, 0.014148645102977753, 0.0034429815132170916, 0.0030150176025927067, 0.005960955284535885, 0.00687776692211628]","[6.2644524574279785, 4.560245513916016, 3.056854486465454, 5.812654495239258, 2.536633014678955, 5.369370460510254, 12.265026092529297, 6.834500789642334, 8.581802368164062]"
5,2020-11-02 02:59:03,T079-168354-IW2,descending,55,47.0694728250112,47.0694728250112,667183.6208913935,4823384.08685955,"[0.03661235794425011, 0.044599659740924835, 0.06547136604785919, 0.05461830273270607, 0.031011370941996574, 0.0224605705589056, 0.04203372448682785, 0.05326426029205322, 0.050380539149045944]","[0.005250436253845692, 0.005900698713958263, 0.006621726788580418, 0.0024330115411430597, 0.00733547005802393, 0.00393901951611042, 0.006670312024652958, 0.003735021920874715, 0.006171246990561485]","[6.973203182220459, 7.558369159698486, 9.88735580444336, 22.4488468170166, 4.227591514587402, 5.702071189880371, 6.301612854003906, 14.260762214660645, 8.163753509521484]"
6,2020-11-08 03:00:03,T079-168354-IW2,descending,55,47.0694728250112,47.0694728250112,667183.6208913935,4823384.08685955,"[0.049769964069128036, 0.06591746211051941, 0.0645514726638794, 0.05345548689365387, 0.043924346566200256, 0.024326888844370842, 0.0448763333261013, 0.029830288141965866, 0.04745562747120857]","[0.010865855030715466, 0.011276590637862682, 0.015039351768791676, 0.005878083873540163, 0.01109666470438242, 0.009153930470347404, 0.009893175214529037, 0.009495497681200504, 0.009905396029353142]","[4.580399990081787, 5.845513343811035, 4.292171001434326, 9.094032287597656, 3.9583377838134766, 2.6575348377227783, 4.536089897155762, 3.141519069671631, 4.790886402130127]"
7,2020-11-14 02:59:03,T079-168354-IW2,descending,55,47.0694728250112,47.0694728250112,667183.6208913935,4823384.08685955,"[0.02947710081934929, 0.009906052611768246, 0.03491305932402611, 0.018637409433722496, 0.02025478333234787, 0.014707125723361969, 0.0164741650223732, 0.011817174963653088, 0.02842448651790619]","[0.0019327054033055902, 0.00035000525531359017, 0.008565545082092285, 0.0019213729538023472, 0.0008808124694041908, 0.002732257591560483, 0.0012615607120096684, 0.0022103055380284786, 0.0016602164832875133]","[15.251729965209961, 28.302581787109375, 4.075987815856934, 9.700047492980957, 22.995569229125977, 5.382774353027344, 13.05855941772461, 5.346398830413818, 17.120952606201172]"
8,2020-11-20 03:00:03,T079-168354-IW2,descending,55,47.0694728250112,47.0694728250112,667183.6208913935,4823384.08685955,"[0.06141403317451477, 0.05772851034998894, 0.03532222658395767, 0.0530710443854332, 0.08007366955280304, 0.06170618534088135, 0.05361267924308777, 0.10183503478765488, 0.059861261397600174]","[0.009544424712657928, 0.006050863768905401, 0.004774171859025955, 0.005638839211314917, 0.008528225123882294, 0.008492196910083294, 0.0058290972374379635, 0.005044010002166033, 0.010161180049180984]","[6.434545516967773, 9.54054069519043, 7.398608207702637, 9.411696434020996, 9.389253616333008, 7.266221523284912, 9.197423934936523, 20.189300537109375, 5.891172409057617]"
9,2020-11-26 02:59:02,T079-168354-IW2,descending,55,47.0694728250112,47.0694728250112,667183.6208913935,4823384.08685955,"[0.06477180868387222, 0.03556583821773529, 0.044262636452913284, 0.032989274710416794, 0.058727506548166275, 0.043556828051805496, 0.04163452982902527, 0.033718567341566086, 0.05658143758773804]","[0.006633511278778315, 0.0034167009871453047, 0.005234431941062212, 0.00491849472746253, 0.003521849401295185, 0.0017397039337083697, 0.0017360643250867724, 0.002563090529292822, 0.0023636522237211466]","[9.76433277130127, 10.409409523010254, 8.456053733825684, 6.707189083099365, 16.675189971923828, 25.03692054748535, 23.982135772705078, 13.155433654785156, 23.938138961791992]"
