,datetime,burst_id,orbit_pass_direction,site_id,site_lon,site_lat,site_x,site_y,vv,vh,vv/vh
0,2020-10-01 23:03:53,T062-131894-IW3,descending,122,103.643999148033,103.643999148033,375562.63941625995,3822317.2785015632,"[0.31517964601516724, 0.21842867136001587, 0.18589428067207336, 0.2090572565793991, 0.07321657240390778, 0.3755009174346924, 0.1761055886745453, 0.1416940987110138, 0.36136594414711]","[0.07526624947786331, 0.016804207116365433, 0.03765313699841499, 0.1120322197675705, 0.029700785875320435, 0.051807060837745667, 0.031022636219859123, 0.04308995604515076, 0.027913570404052734]","[4.187529563903809, 12.998451232910156, 4.9370198249816895, 1.8660458326339722, 2.465139150619507, 7.2480645179748535, 5.676680088043213, 3.288332462310791, 12.945887565612793]"
1,2020-10-13 23:03:54,T062-131894-IW3,descending,122,103.643999148033,103.643999148033,375562.63941625995,3822317.2785015632,"[0.24839897453784943, 0.1758289784193039, 0.12880735099315643, 0.1892528384923935, 0.10179006308317184, 0.39298638701438904, 0.11201562732458115, 0.1400570273399353, 0.28986024856567383]","[0.0625537559390068, 0.026730522513389587, 0.01156106311827898, 0.025978798046708107, 0.011363787576556206, 0.02974008023738861, 0.042817022651433945, 0.007233957294374704, 0.01730908453464508]","[3.970968246459961, 6.577835559844971, 11.1414794921875, 7.284895896911621, 8.957406044006348, 13.214032173156738, 2.616147041320801, 19.361053466796875, 16.74613380432129]"
2,2020-10-19 23:03:08,T062-131894-IW3,descending,122,103.643999148033,103.643999148033,375562.63941625995,3822317.2785015632,"[0.15101230144500732, 0.08537925034761429, 0.11551230400800705, 0.12421705573797226, 0.030395889654755592, 0.17043381929397583, 0.08967690914869308, 0.06953005492687225, 0.26948022842407227]","[0.0340791791677475, 0.021687105298042297, 0.009779151529073715, 0.02812938392162323, 0.011440630070865154, 0.012764130719006062, 0.023162439465522766, 0.007010839879512787, 0.0201549232006073]","[4.43121862411499, 3.9368669986724854, 11.812098503112793, 4.415917873382568, 2.656836986541748, 13.352560043334961, 3.871652126312256, 9.91750717163086, 13.370441436767578]"
3,2020-10-25 23:03:54,T062-131894-IW3,descending,122,103.643999148033,103.643999148033,375562.63941625995,3822317.2785015632,"[0.12671609222888947, 0.0871666744351387, 0.08999120444059372, 0.11192283034324646, 0.023662665858864784, 0.08950105309486389, 0.11011384427547455, 0.08579922467470169, 0.13724809885025024]","[0.034298431128263474, 0.019536780193448067, 0.014574703760445118, 0.024845171719789505, 0.016577905043959618, 0.018487082794308662, 0.032409194856882095, 0.008840968832373619, 0.012883313931524754]","[3.6945157051086426, 4.461670398712158, 6.174479007720947, 4.504812240600586, 1.4273616075515747, 4.841275215148926, 3.397611141204834, 9.704730987548828, 10.653167724609375]"
4,2020-10-31 23:03:08,T062-131894-IW3,descending,122,103.643999148033,103.643999148033,375562.63941625995,3822317.2785015632,"[0.13253705203533173, 0.15619876980781555, 0.31194552779197693, 0.13294647634029388, 0.07847045361995697, 0.32322412729263306, 0.07955048978328705, 0.15872322022914886, 0.1513795703649521]","[0.04357065260410309, 0.01940280571579933, 0.015010819770395756, 0.027679385617375374, 0.009668448008596897, 0.010348757728934288, 0.019293591380119324, 0.005183593835681677, 0.013169348239898682]","[3.0418882369995117, 8.050318717956543, 20.7813777923584, 4.803086280822754, 8.116137504577637, 31.23313331604004, 4.1231560707092285, 30.620304107666016, 11.494841575622559]"
5,2020-11-06 23:03:53,T062-131894-IW3,descending,122,103.643999148033,103.643999148033,375562.63941625995,3822317.2785015632,"[0.16671273112297058, 0.16385357081890106, 0.19617711007595062, 0.10280317068099976, 0.05997768044471741, 0.1968713104724884, 0.07715345174074173, 0.06345608830451965, 0.09815247356891632]","[0.022617211565375328, 0.013681735843420029, 0.0068515511229634285, 0.015219757333397865, 0.005270421504974365, 0.004476741421967745, 0.014242627657949924, 0.004653148353099823, 0.00429841224104166]","[7.371056079864502, 11.976080894470215, 28.632511138916016, 6.754586696624756, 11.380053520202637, 43.97647476196289, 5.417079925537109, 13.637237548828125, 22.8345890045166]"
6,2020-11-12 23:03:08,T062-131894-IW3,descending,122,103.643999148033,103.643999148033,375562.63941625995,3822317.2785015632,"[0.1992497593164444, 0.052435413002967834, 0.10102331638336182, 0.09270168840885162, 0.05463661625981331, 0.09726471453905106, 0.08567097783088684, 0.16669102013111115, 0.09122437983751297]","[0.0576169490814209, 0.03066915087401867, 0.008911935612559319, 0.02120758779346943, 0.007140557747334242, 0.011452757753431797, 0.011325335130095482, 0.011195795610547066, 0.02467923052608967]","[3.4581797122955322, 1.7097119092941284, 11.335732460021973, 4.371156692504883, 7.651589393615723, 8.49268913269043, 7.564542293548584, 14.888715744018555, 3.6964030265808105]"
7,2020-11-18 23:03:53,T062-131894-IW3,descending,122,103.643999148033,103.643999148033,375562.63941625995,3822317.2785015632,"[0.151430144906044, 0.0884276032447815, 0.15402746200561523, 0.11991724371910095, 0.0849442407488823, 0.19358620047569275, 0.09006895124912262, 0.17687007784843445, 0.10145790129899979]","[0.03633834049105644, 0.01528148166835308, 0.017859522253274918, 0.030840160325169563, 0.00741233304142952, 0.008460238575935364, 0.021366216242313385, 0.003598189679905772, 0.006525523029267788]","[4.167227745056152, 5.786585807800293, 8.624388694763184, 3.8883469104766846, 11.45985221862793, 22.88188362121582, 4.215484619140625, 49.155296325683594, 15.547857284545898]"
8,2020-11-24 23:03:07,T062-131894-IW3,descending,122,103.643999148033,103.643999148033,375562.63941625995,3822317.2785015632,"[0.11150580644607544, 0.16495993733406067, 0.06438855826854706, 0.1679990142583847, 0.11049598455429077, 0.04468628764152527, 0.08297628164291382, 0.09150020778179169, 0.09698056429624557]","[0.01920078694820404, 0.018183138221502304, 0.007647972088307142, 0.017737410962581635, 0.005300672724843025, 0.007094496861100197, 0.00945295486599207, 0.001999242464080453, 0.0036219023168087006]","[5.807355880737305, 9.072137832641602, 8.419036865234375, 9.471450805664062, 20.845653533935547, 6.298725605010986, 8.777813911437988, 45.76744079589844, 26.776140213012695]"
9,2020-11-30 23:03:53,T062-131894-IW3,descending,122,103.643999148033,103.643999148033,375562.63941625995,3822317.2785015632,"[0.1247015967965126, 0.05764519423246384, 0.09246888011693954, 0.10542770475149155, 0.05367375910282135, 0.08390768617391586, 0.06835804134607315, 0.1344309151172638, 0.049825724214315414]","[0.02785559929907322, 0.022644173353910446, 0.006670929491519928, 0.02060439996421337, 0.004262233152985573, 0.01209817361086607, 0.005652278196066618, 0.010491563007235527, 0.022405477240681648]","[4.476715564727783, 2.545696496963501, 13.861468315124512, 5.116756916046143, 12.592872619628906, 6.935566425323486, 12.093892097473145, 12.813240051269531, 2.2238190174102783]"
