,datetime,burst_id,orbit_pass_direction,site_id,site_lon,site_lat,site_x,site_y,vv,vh,vv/vh
0,2020-10-02 03:08:02,T152-325166-IW2,descending,272,44.2128519892493,44.2128519892493,434125.91384475457,4575166.998743954,"[0.06494160741567612, 0.07001475244760513, 0.06952482461929321, 0.06055339425802231, 0.07564923167228699, 0.06923270970582962, 0.0578540675342083, 0.1056034192442894, 0.05304533615708351]","[0.011887134984135628, 0.012743811123073101, 0.016583144664764404, 0.007454900071024895, 0.0271318219602108, 0.02789592742919922, 0.011360466480255127, 0.013256510719656944, 0.005538169760257006]","[5.463184356689453, 5.494019985198975, 4.19249963760376, 8.12263011932373, 2.78821063041687, 2.481821298599243, 5.092578411102295, 7.966155052185059, 9.578134536743164]"
1,2020-10-08 03:08:52,T152-325166-IW2,descending,272,44.2128519892493,44.2128519892493,434125.91384475457,4575166.998743954,"[0.06816966831684113, 0.09218719601631165, 0.041033413261175156, 0.03952665254473686, 0.09203936904668808, 0.07337252795696259, 0.04931839182972908, 0.038340553641319275, 0.03710193932056427]","[0.004424727987498045, 0.019314024597406387, 0.005888715386390686, 0.005477243103086948, 0.02476632036268711, 0.004624555818736553, 0.009309584274888039, 0.006964258849620819, 0.009114256128668785]","[15.406521797180176, 4.773070335388184, 6.968143463134766, 7.216523170471191, 3.7163119316101074, 15.865854263305664, 5.297593593597412, 5.505331516265869, 4.070758819580078]"
2,2020-10-14 03:08:02,T152-325166-IW2,descending,272,44.2128519892493,44.2128519892493,434125.91384475457,4575166.998743954,"[0.04614469036459923, 0.04475328326225281, 0.03583959862589836, 0.02817530930042267, 0.03710848093032837, 0.03469246253371239, 0.0562446266412735, 0.0282267015427351, 0.01915939897298813]","[0.004788883030414581, 0.007472860161215067, 0.006555813830345869, 0.008975048549473286, 0.012371700257062912, 0.007819532416760921, 0.005215692333877087, 0.0029718554578721523, 0.003246747888624668]","[9.635793685913086, 5.988775730133057, 5.466842174530029, 3.1392931938171387, 2.999464988708496, 4.436641693115234, 10.783731460571289, 9.498005867004395, 5.90110445022583]"
3,2020-10-20 03:08:51,T152-325166-IW2,descending,272,44.2128519892493,44.2128519892493,434125.91384475457,4575166.998743954,"[0.026916461065411568, 0.03445332497358322, 0.031703028827905655, 0.012943869456648827, 0.033173806965351105, 0.03747699782252312, 0.02787451632320881, 0.019182473421096802, 0.017037859186530113]","[0.0019034079741686583, 0.0052621313370764256, 0.004236522130668163, 0.004469466861337423, 0.00908404029905796, 0.00669610220938921, 0.004937168676406145, 0.004116322845220566, 0.0026592763606458902]","[14.141193389892578, 6.547408580780029, 7.483267784118652, 2.8960657119750977, 3.6518781185150146, 5.596837997436523, 5.645850658416748, 4.660099506378174, 6.40695333480835]"
4,2020-10-26 03:08:02,T152-325166-IW2,descending,272,44.2128519892493,44.2128519892493,434125.91384475457,4575166.998743954,"[0.028034010902047157, 0.02250686101615429, 0.03648466244339943, 0.04191471263766289, 0.02729111537337303, 0.03970479220151901, 0.03894646093249321, 0.03151198849081993, 0.02993205562233925]","[0.005247718654572964, 0.0028380313888192177, 0.004126432817429304, 0.004525850526988506, 0.0051902225241065025, 0.003712229896336794, 0.0013282473664730787, 0.001929412130266428, 0.0008273122366517782]","[5.342133045196533, 7.930448055267334, 8.841695785522461, 9.261178970336914, 5.258178234100342, 10.695672035217285, 29.321693420410156, 16.332429885864258, 36.17987823486328]"
5,2020-11-01 03:08:51,T152-325166-IW2,descending,272,44.2128519892493,44.2128519892493,434125.91384475457,4575166.998743954,"[0.020833957940340042, 0.014758766628801823, 0.018224135041236877, 0.02110619843006134, 0.03548260033130646, 0.042220648378133774, 0.046555228531360626, 0.024492135271430016, 0.019466543570160866]","[0.004282005131244659, 0.0075507257133722305, 0.002241775393486023, 0.004961197730153799, 0.005486036650836468, 0.0026491968892514706, 0.0034062815830111504, 0.000957568408921361, 0.002776150358840823]","[4.865467548370361, 1.954615592956543, 8.129331588745117, 4.2542548179626465, 6.467802047729492, 15.937150001525879, 13.667463302612305, 25.57742691040039, 7.012063980102539]"
6,2020-11-07 03:08:02,T152-325166-IW2,descending,272,44.2128519892493,44.2128519892493,434125.91384475457,4575166.998743954,"[0.050733257085084915, 0.05989466980099678, 0.057360365986824036, 0.058027274906635284, 0.07637140154838562, 0.053179796785116196, 0.058126721531152725, 0.05067744106054306, 0.03856603056192398]","[0.009096787311136723, 0.0074303667061030865, 0.010605336166918278, 0.005530305206775665, 0.009750837460160255, 0.008220013231039047, 0.0043233418837189674, 0.004474894609302282, 0.003631717525422573]","[5.577052116394043, 8.060795783996582, 5.408632278442383, 10.492598533630371, 7.832291603088379, 6.469551086425781, 13.44485855102539, 11.324834823608398, 10.619226455688477]"
7,2020-11-13 03:08:51,T152-325166-IW2,descending,272,44.2128519892493,44.2128519892493,434125.91384475457,4575166.998743954,"[0.03573121875524521, 0.026544243097305298, 0.04461253061890602, 0.0463496558368206, 0.03287631273269653, 0.04435321316123009, 0.054480668157339096, 0.02013900876045227, 0.030540529638528824]","[0.001477761659771204, 0.004471266642212868, 0.00258207437582314, 0.002939899917691946, 0.004203869495540857, 0.003194076707586646, 0.00555622112005949, 0.007260656915605068, 0.0039294627495110035]","[24.179283142089844, 5.936627388000488, 17.277786254882812, 15.765726089477539, 7.820488452911377, 13.886082649230957, 9.80534553527832, 2.773717164993286, 7.772189617156982]"
8,2020-11-19 03:08:02,T152-325166-IW2,descending,272,44.2128519892493,44.2128519892493,434125.91384475457,4575166.998743954,"[0.10581910610198975, 0.12529313564300537, 0.08568720519542694, 0.11548664420843124, 0.12397792190313339, 0.07044555991888046, 0.09522216767072678, 0.11781208962202072, 0.07633775472640991]","[0.020854493603110313, 0.012657282873988152, 0.016294434666633606, 0.014981825836002827, 0.005203933455049992, 0.01129334419965744, 0.012899496592581272, 0.00853003654628992, 0.006266994401812553]","[5.074163436889648, 9.898897171020508, 5.258679389953613, 7.708449363708496, 23.82388687133789, 6.237794399261475, 7.381851673126221, 13.811440467834473, 12.180919647216797]"
9,2020-11-25 03:08:51,T152-325166-IW2,descending,272,44.2128519892493,44.2128519892493,434125.91384475457,4575166.998743954,"[0.024111317470669746, 0.025168199092149734, 0.018006974831223488, 0.02078518457710743, 0.024029888212680817, 0.02546643652021885, 0.022853389382362366, 0.014545278623700142, 0.023901691660284996]","[0.0031669156160205603, 0.0023460055235773325, 0.0020724099595099688, 0.0015917692799121141, 0.005700106732547283, 0.001831389614380896, 0.001339730224572122, 0.0011635925620794296, 0.0009153374121524394]","[7.61350154876709, 10.728107452392578, 8.688905715942383, 13.057912826538086, 4.215691089630127, 13.905526161193848, 17.058202743530273, 12.500319480895996, 26.112438201904297]"
