,datetime,burst_id,orbit_pass_direction,site_id,site_lon,site_lat,site_x,site_y,vv,vh,vv/vh
0,2020-10-01 01:58:32,T137-292333-IW3,ascending,104,-119.383975501228,-119.383975501228,822433.0385966359,4084288.3488325896,"[0.07925903797149658, 0.12101489305496216, 0.1900535374879837, 0.18934442102909088, 0.16145983338356018, 0.2542034685611725, 0.18825775384902954, 0.1361662596464157, 0.20974843204021454]","[0.015035302378237247, 0.04746076092123985, 0.03868754580616951, 0.04465041682124138, 0.05620861053466797, 0.04617999121546745, 0.018327897414565086, 0.04784542694687843, 0.03214707970619202]","[5.271529197692871, 2.549788236618042, 4.912525177001953, 4.240596771240234, 2.8725106716156006, 5.5046234130859375, 10.271650314331055, 2.845961809158325, 6.524649620056152]"
1,2020-10-07 01:59:09,T137-292333-IW3,ascending,104,-119.383975501228,-119.383975501228,822433.0385966359,4084288.3488325896,"[0.07588136196136475, 0.12121347337961197, 0.2002706676721573, 0.16364292800426483, 0.19500583410263062, 0.25531288981437683, 0.17642365396022797, 0.14997240900993347, 0.16690273582935333]","[0.01808110438287258, 0.02122379094362259, 0.11552811414003372, 0.05672460049390793, 0.0651533305644989, 0.06447108834981918, 0.020826056599617004, 0.04159201681613922, 0.05024373531341553]","[4.19672155380249, 5.711207389831543, 1.7335232496261597, 2.884866952896118, 2.9930293560028076, 3.9601144790649414, 8.471294403076172, 3.6057980060577393, 3.321861505508423]"
2,2020-10-13 01:58:32,T137-292333-IW3,ascending,104,-119.383975501228,-119.383975501228,822433.0385966359,4084288.3488325896,"[0.06061772257089615, 0.10371766984462738, 0.17395763099193573, 0.10697587579488754, 0.13323260843753815, 0.1872449368238449, 0.11348302662372589, 0.139724463224411, 0.1671428084373474]","[0.011668195016682148, 0.03138764947652817, 0.06656245142221451, 0.03482886031270027, 0.04928438737988472, 0.061250850558280945, 0.01953112706542015, 0.03139812499284744, 0.030132606625556946]","[5.19512414932251, 3.304410219192505, 2.613449811935425, 3.07147216796875, 2.703343152999878, 3.0570178031921387, 5.810367584228516, 4.450089454650879, 5.546908378601074]"
3,2020-10-19 01:59:09,T137-292333-IW3,ascending,104,-119.383975501228,-119.383975501228,822433.0385966359,4084288.3488325896,"[0.08030026406049728, 0.13572491705417633, 0.14794206619262695, 0.16641688346862793, 0.14959251880645752, 0.23766475915908813, 0.10560067743062973, 0.14494836330413818, 0.14953060448169708]","[0.021278435364365578, 0.016020705923438072, 0.07817649841308594, 0.02732319012284279, 0.06361979991197586, 0.05955999717116356, 0.014418615028262138, 0.03465897589921951, 0.024978309869766235]","[3.7737860679626465, 8.471843719482422, 1.8924109935760498, 6.0906829833984375, 2.351351499557495, 3.990341901779175, 7.323912620544434, 4.182130813598633, 5.9864182472229]"
4,2020-10-25 01:58:32,T137-292333-IW3,ascending,104,-119.383975501228,-119.383975501228,822433.0385966359,4084288.3488325896,"[0.07041730731725693, 0.08979026228189468, 0.1484088897705078, 0.1776774376630783, 0.14286887645721436, 0.10346170514822006, 0.16376297175884247, 0.15793077647686005, 0.1359919309616089]","[0.015045427717268467, 0.012424611486494541, 0.06548003107309341, 0.04971834272146225, 0.04473496973514557, 0.047181665897369385, 0.01823827624320984, 0.03347901254892349, 0.04199650138616562]","[4.680312633514404, 7.226806640625, 2.2664754390716553, 3.5736799240112305, 3.1936733722686768, 2.1928369998931885, 8.979082107543945, 4.717307090759277, 3.238172769546509]"
5,2020-10-31 01:59:09,T137-292333-IW3,ascending,104,-119.383975501228,-119.383975501228,822433.0385966359,4084288.3488325896,"[0.05636008083820343, 0.14072464406490326, 0.13451160490512848, 0.12440076470375061, 0.10136380791664124, 0.1970766931772232, 0.12140205502510071, 0.10162314027547836, 0.1691889762878418]","[0.016279365867376328, 0.03797129914164543, 0.0291906725615263, 0.04268835857510567, 0.059026479721069336, 0.04398490861058235, 0.03567614406347275, 0.04695906490087509, 0.04246481880545616]","[3.4620563983917236, 3.7060792446136475, 4.608033657073975, 2.914161443710327, 1.7172598838806152, 4.480552673339844, 3.4028916358947754, 2.164079189300537, 3.984215259552002]"
6,2020-11-06 01:58:32,T137-292333-IW3,ascending,104,-119.383975501228,-119.383975501228,822433.0385966359,4084288.3488325896,"[0.06969872117042542, 0.11022140830755234, 0.15794919431209564, 0.15125706791877747, 0.11013992875814438, 0.20592236518859863, 0.13463257253170013, 0.09756088256835938, 0.20790541172027588]","[0.018356256186962128, 0.047307178378105164, 0.033966634422540665, 0.043904174119234085, 0.04933708906173706, 0.044936925172805786, 0.03435862809419632, 0.04468598589301109, 0.04934924095869064]","[3.7970008850097656, 2.329908847808838, 4.65012788772583, 3.4451637268066406, 2.232396125793457, 4.582475662231445, 3.918450117111206, 2.1832544803619385, 4.212940216064453]"
7,2020-11-12 01:59:09,T137-292333-IW3,ascending,104,-119.383975501228,-119.383975501228,822433.0385966359,4084288.3488325896,"[0.04243926703929901, 0.12305011600255966, 0.1285669207572937, 0.07779167592525482, 0.11483100056648254, 0.27302923798561096, 0.07265948504209518, 0.06634943932294846, 0.11991214007139206]","[0.010345845483243465, 0.04331415146589279, 0.04929489642381668, 0.012247562408447266, 0.023428408429026604, 0.023778846487402916, 0.014303343370556831, 0.01367955282330513, 0.013807288371026516]","[4.1020588874816895, 2.8408756256103516, 2.6081182956695557, 6.35160493850708, 4.901357173919678, 11.482022285461426, 5.07989501953125, 4.850263595581055, 8.684699058532715]"
8,2020-11-18 01:58:32,T137-292333-IW3,ascending,104,-119.383975501228,-119.383975501228,822433.0385966359,4084288.3488325896,"[0.08538821339607239, 0.1018049418926239, 0.11460688710212708, 0.11475596576929092, 0.13072718679904938, 0.25789347290992737, 0.08097154647111893, 0.12058231234550476, 0.2503412365913391]","[0.008440516889095306, 0.039635878056287766, 0.05324637517333031, 0.039937760680913925, 0.056251123547554016, 0.023277845233678818, 0.031101200729608536, 0.024246009066700935, 0.036230944097042084]","[10.116467475891113, 2.568504810333252, 2.152388572692871, 2.8733701705932617, 2.3239924907684326, 11.078924179077148, 2.6034862995147705, 4.97328519821167, 6.909597396850586]"
9,2020-11-24 01:59:08,T137-292333-IW3,ascending,104,-119.383975501228,-119.383975501228,822433.0385966359,4084288.3488325896,"[0.06274878233671188, 0.08161690831184387, 0.10598185658454895, 0.07275564968585968, 0.1252177506685257, 0.1744079738855362, 0.06965233385562897, 0.10446163266897202, 0.16818149387836456]","[0.011631248518824577, 0.0421983078122139, 0.02314724214375019, 0.021664036437869072, 0.02686595544219017, 0.03391306474804878, 0.02701856940984726, 0.012257546186447144, 0.020803747698664665]","[5.394845008850098, 1.9341275691986084, 4.5785956382751465, 3.358360767364502, 4.660833835601807, 5.142796039581299, 2.5779430866241455, 8.52223014831543, 8.084192276000977]"
